,funding_total_usd,country_code,funding_rounds,time_between_first_last_funding,days_in_business,status,Industry_Group_Biotechnology,Industry_Group_Commerce and Shopping,Industry_Group_Community and Lifestyle,Industry_Group_Health Care,Industry_Group_Information Technology,Industry_Group_Internet Services,Industry_Group_Other,Industry_Group_Software
0,1750000,USA,1,0,1307,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4000000,USA,2,111,2035,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,40000,Other,1,0,1160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1500000,Other,1,0,1734,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,60000,USA,2,40,728,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4912393,Other,1,0,3270,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2000000,Other,1,0,3285,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,41250,Other,1,0,547,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,40000,Other,1,0,1459,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4400000,Other,2,646,1093,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2050000,USA,4,923,5476,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,40000,USA,1,0,2920,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,500000,Other,1,0,2554,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2535000,USA,2,411,2008,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,4962651,USA,6,1801,2920,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,4059079,Other,4,333,1866,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,10000000,Other,3,1307,2554,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,3000000,Other,2,949,2914,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,4500000,Other,2,243,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,420000,USA,1,0,544,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,1250000,USA,2,28,1566,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21,35000000,USA,1,0,5842,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,50000,USA,1,0,2464,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,1600000,Other,2,189,905,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,100000,Other,1,0,2373,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,3000000,USA,1,0,1459,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,77500,USA,1,0,2189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,20000000,Other,1,0,1551,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,1800000,USA,1,0,1744,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,270000,Other,2,196,1428,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,794000,USA,6,695,1545,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,650267,Other,2,447,1459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,378812,Other,1,0,1093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,619494,Other,1,0,1846,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,66450000,USA,8,2086,3285,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,700000,Other,1,0,2189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,5500000,USA,2,666,2179,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,500000,USA,1,0,2189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,6204822,Other,2,1124,2889,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,3400000,USA,3,1005,1704,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,200000,Other,1,0,1716,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,199957,USA,1,0,3650,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,50000,USA,1,0,2420,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,84440319,Other,3,2239,4381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2500000,USA,1,0,561,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,9478511,Other,3,2738,4015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,40000,Other,1,0,2536,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,43811,Other,2,153,2317,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,50000,USA,1,0,2739,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1450000,USA,1,0,2189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,2100000,Other,3,540,1027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,4163132,Other,2,380,850,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,170000,Other,1,0,895,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,30000000,USA,1,0,5111,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,500000,USA,1,0,1824,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
55,2572969,Other,1,0,485,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,156000,Other,2,28,1069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,30000,USA,1,0,1551,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,117000000,USA,4,813,5476,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,750000,USA,1,0,2342,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1500000,USA,2,152,1490,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,1660000,Other,1,0,5568,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,150000,USA,1,0,5721,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,41000000,USA,5,1079,2920,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,29750000,Other,1,0,3407,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1236454,Other,3,563,1459,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,2800000,USA,2,304,3042,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1464128,Other,1,0,4381,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,6369507,Other,1,0,1307,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,5050000,USA,1,0,1093,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
