name,funding_total_usd,status,country_code,funding_rounds,Industry_Group,time_between_first_last_funding,days_in_business
#waywire,1750000,acquired,USA,1,Content and Publishing,0,1307
&TV Communications,4000000,operating,USA,2,Gaming,111,2035
'Rock' Your Paper,40000,operating,Other,1,Content and Publishing,0,1160
(In)Touch Network,1500000,operating,Other,1,Consumer Electronics,0,1734
-R- Ranch and Mine,60000,operating,USA,2,Travel and Tourism,40,728
.Fox Networks,4912393,closed,Other,1,Advertising,0,3270
0-6.com,2000000,operating,Other,1,Internet Services,0,3285
01Games Technology,41250,operating,Other,1,Gaming,0,547
"1,2,3 Listo",40000,operating,Other,1,Commerce and Shopping,0,1459
10 Minutes With,4400000,operating,Other,2,Education,646,1093
10-20 Media,2050000,operating,USA,4,Commerce and Shopping,923,5476
1000 Corks,40000,operating,USA,1,Internet Services,0,2920
1000 Markets,500000,acquired,Other,1,Commerce and Shopping,0,2554
1000memories,2535000,acquired,USA,2,Internet Services,411,2008
1000museums.com,4962651,operating,USA,6,Internet Services,1801,2920
1001 Menus,4059079,operating,Other,4,Food and Beverage,333,1866
1006.tv,10000000,operating,Other,3,Media and Entertainment,1307,2554
100du.tv,3000000,operating,Other,2,Health Care,949,2914
100e.com,4500000,operating,Other,2,Education,243,3650
100health,420000,operating,USA,1,Health Care,0,544
100Plus,1250000,acquired,USA,2,Other,28,1566
1010data,35000000,operating,USA,1,Software,0,5842
10BestThings,50000,closed,USA,1,Internet Services,0,2464
10sec,1600000,operating,Other,2,Mobile,189,905
10seconds Software,100000,operating,Other,1,Other,0,2373
10X Technologies,3000000,operating,USA,1,Biotechnology,0,1459
10X10 Room,77500,operating,USA,1,Software,0,2189
117go,20000000,operating,Other,1,Community and Lifestyle,0,1551
11i Solutions,1800000,operating,USA,1,Software,0,1744
121cast,270000,operating,Other,2,Mobile,196,1428
121nexus,794000,operating,USA,6,Consumer Electronics,695,1545
1234ENTER,650267,operating,Other,2,Advertising,447,1459
1248,378812,operating,Other,1,Software,0,1093
12Return,619494,operating,Other,1,Software,0,1846
1366 Technologies,66450000,operating,USA,8,Manufacturing,2086,3285
13th Lab,700000,operating,Other,1,Mobile,0,2189
140 Proof,5500000,operating,USA,2,Advertising,666,2179
140Fire,500000,operating,USA,1,Media and Entertainment,0,2189
159.com,6204822,operating,Other,2,Software,1124,2889
15Five,3400000,operating,USA,3,Software,1005,1704
15MinutesNOW,200000,operating,Other,1,Gaming,0,1716
16 Mile Solutions,199957,operating,USA,1,Software,0,3650
169 ST.,50000,operating,USA,1,Gaming,0,2420
17u.cn,84440319,operating,Other,3,Travel and Tourism,2239,4381
1871,2500000,operating,USA,1,Design,0,561
19pay,9478511,operating,Other,3,Financial Services,2738,4015
1calendar,40000,operating,Other,1,Education,0,2536
1DayLater,43811,operating,Other,2,Internet Services,153,2317
1DayMakeover,50000,closed,USA,1,Commerce and Shopping,0,2739
1Energy Systems,1450000,operating,USA,1,Software,0,2189
1EQ,2100000,operating,Other,3,Mobile,540,1027
1jiajie,4163132,operating,Other,2,Commerce and Shopping,380,850
1Lay,170000,operating,Other,1,Mobile,0,895
1Life Healthcare,30000000,operating,USA,1,Health Care,0,5111
1Mind,500000,operating,USA,1,Community and Lifestyle,0,1824
1Rebel,2572969,operating,Other,1,Sports,0,485
1SDK,156000,operating,Other,2,Software,28,1069
1spire,30000,operating,USA,1,Manufacturing,0,1551
1stdibs,117000000,operating,USA,4,Commerce and Shopping,813,5476
1stGig.com,750000,operating,USA,1,Commerce and Shopping,0,2342
1World Online,1500000,operating,USA,2,Software,152,1490
2 Minutes,1660000,operating,Other,1,Gaming,0,5568
20/20 Gene Systems Inc.,150000,operating,USA,1,Biotechnology,0,5721
2080 Media,41000000,operating,USA,5,Content and Publishing,1079,2920
20:20 Mobile,29750000,operating,Other,1,Mobile,0,3407
20lines,1236454,operating,Other,3,Internet Services,563,1459
20x200,2800000,operating,USA,2,Media and Entertainment,304,3042
21Cake Food Co.,1464128,operating,Other,1,Manufacturing,0,4381
21Diamonds,6369507,operating,Other,1,Commerce and Shopping,0,1307
2.10E+07,5050000,operating,USA,1,Other,0,1093
21GRAMS,2580000,operating,Other,1,Software,0,3558
21st Century Oncology,325000000,operating,USA,1,Health Care,0,460
21viaNet,100000000,operating,Other,2,Software,304,2266
22nd Century Group,15034750,operating,USA,6,Biotechnology,1360,6572
22seeds,250000,operating,Other,1,Software,0,2189
2345.com,1610541,operating,Other,2,Software,153,3772
2359 Media,615000,operating,Other,1,Mobile,0,2523
23andMe,111949900,operating,USA,6,Biotechnology,2646,3560
23press,50000,operating,Other,1,Content and Publishing,0,1673
24 Media Network,1209701,operating,Other,2,Content and Publishing,122,2676
24/7 Card,3452941,closed,USA,3,Financial Services,422,1892
247 Techies,600000,operating,USA,1,Software,0,1150
24Fundraiser.com,400000,operating,USA,1,Community and Lifestyle,0,3073
24M Technologies,16000000,operating,USA,1,Information Technology,0,2189
24PageBooks,50000,closed,USA,1,Software,0,2189
24tidy,1856561,operating,Other,2,Professional Services,199,733
